Had A Dream About You Baby;Down In The Groove;Bob Dylan;1988
I Don't Believe You;Another Side Of Bob Dylan;Bob Dylan;1964
I Pity The Poor Immigrant;John Wesley Harding;Bob Dylan;1967
If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;197
I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967
Listen To Me Please;Some Things Never Change;Supertramp;1997
Love Minus Zero/No Limit (live);MTV Unplugged;Bob Dylan;1994
Queen Jane Approximately;Highway 61 Revisited;Bob Dylan;1965
Rainy Day Women Nos. 12 + 35;Blonde On Blonde;Bob Dylan;1966
The Logical Song;The Very Best Of Supertramp;Supertramp;1990
Tight Connection To My Heart;Empire Burlesque;Bob Dylan;1985
All Along The Watchtower;The Best Of Bob Dylan;Bob Dylan;1997
And The Light (live);It Was The Best Of Times;Supertramp;1999
Bloody Well Right;The Very Best Of Supertramp;Supertramp;1990
Downstream;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Driftin' Too Far From Shore;Knocked Out Loaded;Bob Dylan;1986
Give A Little Bit;The Very Best Of Supertramp;Supertramp;1990
Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994
License To Kill;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
Motorpsycho Nitemare;Another Side Of Bob Dylan;Bob Dylan;1964
Never Gonna Be The Same Again;Empire Burlesque;Bob Dylan;1985
Oh Darling;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Put On Your Old Brown Shoes;Famous Last Words;Supertramp;1982
Sad Eyed Lady Of The Lowlands;Blonde On Blonde;Bob Dylan;1966
Where There's A Will;Some Things Never Change;Supertramp;1997
Free As A Bird (live);It Was The Best Of Times;Supertramp;1999
Get Your Act Together;Some Things Never Change;Supertramp;1997
Give A Little Bit;Even In The Quietest Moments;Supertramp;1977
Hide In Your Shell;The Very Best Of Supertramp;Supertramp;1990
Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000
If Everyone Was Listening;Crime Of The Century;Supertramp;1974
It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
It's Raining Again;The Very Best Of Supertramp;Supertramp;1990
Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997
Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005
